Disease,Administrative_Division,Reported_outbreaks,Pct_of_national_reported_outbreaks,Rank,Reported_cases
HPAI,Plateau,308,24.19,1,220189
HPAI,Kano,262,20.58,2,510215
HPAI,Lagos,137,10.76,3,161870
HPAI,Kaduna,70,5.5,4,252746
HPAI,Bauchi,60,4.71,5,107511
HPAI,Rivers,56,4.4,6,69452
HPAI,Ogun,45,3.53,7,240600
HPAI,Katsina,45,3.53,8,159773
HPAI,Delta,42,3.3,9,418644
HPAI,Federal Capital Territory,31,2.44,10,119611
HPAI,Edo,25,1.96,11,31183
HPAI,Taraba,23,1.81,12,2787
HPAI,Nasarawa,22,1.73,13,43543
HPAI,Oyo,18,1.41,14,45611
HPAI,Gombe,15,1.18,15,28847
HPAI,Jigawa,12,0.94,16,3383
HPAI,Niger,11,0.86,17,21515
HPAI,Adamawa,11,0.86,18,20430
HPAI,Anambra,11,0.86,19,16082
HPAI,Bayelsa,10,0.79,20,20150
HPAI,Enugu,9,0.71,21,33334
HPAI,Zamfara,8,0.63,22,198448
HPAI,Borno,8,0.63,23,573
HPAI,Sokoto,7,0.55,24,2970
HPAI,Kebbi,6,0.47,25,14215
HPAI,Abia,5,0.39,26,13018
HPAI,Yobe,3,0.24,27,6
HPAI,Ebonyi,3,0.24,28,770
HPAI,Ekiti,2,0.16,29,609
HPAI,Benue,2,0.16,30,148
HPAI,Akwa Ibom,1,0.08,31,4964
HPAI,Imo,1,0.08,32,1000
HPAI,Nigeria (division not specified),1,0.08,33,3300
HPAI,Kwara,1,0.08,34,2000
HPAI,Kogi,1,0.08,35,2000
HPAI,Osun,1,0.08,36,350
Rabies,Plateau,632,51.3,1,647
Rabies,Bauchi,116,9.42,2,1758
Rabies,Kaduna,97,7.87,3,131
Rabies,Kano,83,6.74,4,90
Rabies,Gombe,49,3.98,5,65
Rabies,Kebbi,26,2.11,6,29
Rabies,Benue,23,1.87,7,24
Rabies,Cross River,19,1.54,8,21
Rabies,Osun,17,1.38,9,19
Rabies,Akwa Ibom,15,1.22,10,15
Rabies,Delta,12,0.97,11,13
Rabies,Ebonyi,12,0.97,12,14
Rabies,Ekiti,11,0.89,13,12
Rabies,Federal Capital Territory,11,0.89,14,10
Rabies,Jigawa,11,0.89,15,14
Rabies,Yobe,8,0.65,16,19
Rabies,Zamfara,8,0.65,17,8
Rabies,Kwara,7,0.57,18,14
Rabies,Niger,7,0.57,19,9
Rabies,Katsina,7,0.57,20,7
Rabies,Bayelsa,6,0.49,21,15
Rabies,Oyo,6,0.49,22,6
Rabies,Adamawa,6,0.49,23,8
Rabies,Taraba,6,0.49,24,7
Rabies,Ogun,6,0.49,25,6
Rabies,Imo,6,0.49,26,6
Rabies,Ondo,5,0.41,27,5
Rabies,Kogi,3,0.24,28,72
Rabies,Sokoto,3,0.24,29,3
Rabies,Lagos,3,0.24,30,3
Rabies,Borno,3,0.24,31,3
Rabies,Anambra,2,0.16,32,4
Rabies,Nasarawa,2,0.16,33,2
Rabies,Edo,2,0.16,34,5
Rabies,Abia,1,0.08,35,1
Rabies,Enugu,1,0.08,36,1
Trypanosomosis,Niger,54,41.54,1,340
Trypanosomosis,Kwara,18,13.85,2,202
Trypanosomosis,Federal Capital Territory,10,7.69,3,141
Trypanosomosis,Enugu,7,5.38,4,66
Trypanosomosis,Adamawa,5,3.85,5,1436
Trypanosomosis,Bauchi,5,3.85,6,189
Trypanosomosis,Anambra,4,3.08,7,15
Trypanosomosis,Ondo,4,3.08,8,87
Trypanosomosis,Jigawa,4,3.08,9,95
Trypanosomosis,Nasarawa,3,2.31,10,285
Trypanosomosis,Kogi,3,2.31,11,13
Trypanosomosis,Lagos,3,2.31,12,12
Trypanosomosis,Gombe,2,1.54,13,2
Trypanosomosis,Osun,2,1.54,14,13
Trypanosomosis,Oyo,2,1.54,15,81
Trypanosomosis,Plateau,2,1.54,16,15
Trypanosomosis,Zamfara,2,1.54,17,16
