Item,Value
Raw records for 2012 Rabies,28
Outbreak-carrying rows,13
Animal-level records,15
Administrative divisions,"Bauchi, Benue, Cross River, Ekiti, Imo, Kaduna, Kogi, Osun, Plateau, Taraba"
Animal categories,"Both animal categories, Domestic"
Species,"Cattle, Dogs"
Total reported outbreaks,19
Total reported cases,1667
Total deaths,93
Total killed and disposed of,134
Total slaughtered,4
Largest single record,"Bauchi, Jul-Dec 2012, Domestic Dogs: 1575 cases (94.48% of annual cases), 78 deaths, 125 killed/disposed, 0 slaughtered"
Cause attribution,"Not determinable: the quantitative dataset contains no field describing event type, investigation, campaign or diagnostic context"
