Year,HPAI_deaths,HPAI_killed_disposed,HPAI_slaughtered,Rabies_deaths,Rabies_killed_disposed,Rabies_slaughtered,Trypanosomosis_deaths,Trypanosomosis_killed_disposed,Trypanosomosis_slaughtered
2006,374996.0,233690.0,0.0,,,,,,
2007,57507.0,13810.0,0.0,2.0,,,,,
2008,1545.0,2818.0,0.0,57.0,15.0,0.0,7.0,3.0,21.0
2009,,,,23.0,16.0,0.0,214.0,189.0,29.0
2010,,,,5.0,0.0,0.0,15.0,0.0,6.0
2011,,,,9.0,8.0,0.0,0.0,0.0,0.0
2012,,,,93.0,134.0,4.0,2.0,0.0,0.0
2013,,,,32.0,1.0,12.0,0.0,0.0,6.0
2014,3300.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2015,134823.0,1098471.0,258.0,1.0,4.0,0.0,2.0,0.0,0.0
2016,140553.0,1524628.0,0.0,1.0,0.0,0.0,,,
2017,19370.0,284319.0,1490.0,24.0,27.0,1.0,0.0,0.0,0.0
2018,1105.0,45.0,0.0,84.0,10.0,5.0,0.0,0.0,0.0
2019,250.0,1250.0,0.0,73.0,10.0,3.0,3.0,0.0,0.0
2020,61.0,2.0,0.0,75.0,34.0,0.0,0.0,0.0,0.0
2021,283884.0,906740.0,0.0,75.0,79.0,0.0,42.0,0.0,15.0
2022,198645.0,757069.0,0.0,46.0,144.0,0.0,,,
2023,21358.0,63390.0,0.0,9.0,142.0,1.0,,,
2024,1636.0,2520.0,0.0,21.0,171.0,0.0,,,
2025,16980.0,100352.0,0.0,48.0,78.0,0.0,,,
