Year,HPAI_Cases,HPAI_Deaths,HPAI_Killed_disposed,HPAI_Outbreaks,HPAI_Slaughtered,HPAI_Susceptible,HPAI_Vaccinated,Rabies_Cases,Rabies_Deaths,Rabies_Killed_disposed,Rabies_Outbreaks,Rabies_Slaughtered,Rabies_Susceptible,Rabies_Vaccinated,Trypanosomosis_Cases,Trypanosomosis_Deaths,Trypanosomosis_Killed_disposed,Trypanosomosis_Outbreaks,Trypanosomosis_Slaughtered,Trypanosomosis_Susceptible,Trypanosomosis_Vaccinated
2006,66820.0,374996.0,233690.0,143.0,0.0,660697.0,0.0,,,,1.0,,,,,,,,,,
2007,12069.0,57507.0,13810.0,150.0,0.0,368850.0,0.0,2.0,2.0,,2.0,,,,,,,,,,
2008,1547.0,1545.0,2818.0,4.0,0.0,4365.0,0.0,88.0,57.0,15.0,23.0,0.0,465.0,593.0,1599.0,7.0,3.0,9.0,21.0,2077.0,0.0
2009,,,,,,,,60.0,23.0,16.0,24.0,0.0,571.0,530.0,342.0,214.0,189.0,15.0,29.0,4260.0,0.0
2010,,,,,,,,5.0,5.0,0.0,5.0,0.0,5.0,0.0,71.0,15.0,0.0,6.0,6.0,166.0,
2011,,,,,,,,17.0,9.0,8.0,11.0,0.0,180.0,0.0,7.0,0.0,0.0,1.0,0.0,30.0,
2012,,,,,,,,1667.0,93.0,134.0,19.0,4.0,3760.0,0.0,10.0,2.0,0.0,1.0,0.0,400.0,
2013,,,,,,,,40.0,32.0,1.0,31.0,12.0,1828.0,377.0,71.0,0.0,0.0,11.0,6.0,335.0,
2014,3300.0,3300.0,0.0,1.0,0.0,50000.0,0.0,9.0,9.0,0.0,9.0,0.0,21.0,165.0,34.0,0.0,0.0,3.0,0.0,94.0,
2015,138033.0,134823.0,1098471.0,251.0,258.0,1360240.0,,5.0,1.0,4.0,2.0,0.0,6.0,0.0,14.0,2.0,0.0,3.0,0.0,81.0,
2016,140553.0,140553.0,1524628.0,219.0,0.0,1675489.0,,1.0,1.0,0.0,1.0,0.0,5.0,0.0,,,,,,,
2017,19704.0,19370.0,284319.0,44.0,1490.0,414984.0,,52.0,24.0,27.0,51.0,1.0,718.0,3000.0,2.0,0.0,0.0,2.0,0.0,46.0,
2018,1105.0,1105.0,45.0,1.0,0.0,1150.0,,99.0,84.0,10.0,91.0,5.0,580.0,80.0,59.0,0.0,0.0,11.0,0.0,377.0,0.0
2019,290.0,250.0,1250.0,2.0,0.0,1500.0,,88.0,73.0,10.0,71.0,3.0,434.0,208.0,44.0,3.0,0.0,14.0,0.0,2598.0,0.0
2020,,61.0,2.0,1.0,0.0,63.0,,114.0,75.0,34.0,107.0,0.0,3881.0,0.0,89.0,0.0,0.0,14.0,0.0,1396.0,0.0
2021,1227276.0,283884.0,906740.0,257.0,0.0,1239924.0,0.0,154.0,75.0,79.0,147.0,0.0,6853.0,10.0,666.0,42.0,0.0,40.0,15.0,1760.0,0.0
2022,955214.0,198645.0,757069.0,140.0,0.0,955714.0,1500.0,188.0,46.0,144.0,178.0,0.0,4160.0,0.0,,,,,,,
2023,84748.0,21358.0,63390.0,19.0,0.0,84748.0,0.0,162.0,9.0,142.0,150.0,1.0,4830.0,22.0,,,,,,,
2024,4156.0,1636.0,2520.0,5.0,0.0,4156.0,0.0,190.0,21.0,171.0,184.0,0.0,2971.0,1500.0,,,,,,,
2025,117032.0,16980.0,100352.0,36.0,0.0,117332.0,0.0,125.0,48.0,78.0,125.0,0.0,2026.0,0.0,,,,,,,
