Disease,Year,Status
HPAI,2009,No WAHIS observation in extracted dataset
HPAI,2010,No WAHIS observation in extracted dataset
HPAI,2011,No WAHIS observation in extracted dataset
HPAI,2012,No WAHIS observation in extracted dataset
HPAI,2013,No WAHIS observation in extracted dataset
Trypanosomosis,2006,No WAHIS observation in extracted dataset
Trypanosomosis,2007,No WAHIS observation in extracted dataset
Trypanosomosis,2016,No WAHIS observation in extracted dataset
Trypanosomosis,2022,No WAHIS observation in extracted dataset
Trypanosomosis,2023,No WAHIS observation in extracted dataset
Trypanosomosis,2024,No WAHIS observation in extracted dataset
Trypanosomosis,2025,No WAHIS observation in extracted dataset
