Check,Result,Detail
1. Raw file loaded unmodified,PASS,"shape=(1112, 19); 19 expected columns present"
5. Only 3 target diseases retained,PASS,raw disease labels=3 -> all map to HPAI/Rabies/Trypanosomosis
2. Study years restricted to 2006-2025,PASS,"years present=2006-2025, n rows=1102 of 1112"
3. 2005 excluded,PASS,4 raw 2005 rows removed (Rabies only)
4. 2026 excluded,PASS,6 raw 2026 rows removed (Jan-Jun only)
19. No unintended NA->0 conversion,PASS,'-' parsed to NaN; group sums use min_count=1; unobserved disease-years forced NaN. NaN cells in annual outbreak table=12
20. No unexplained duplicate removal,PASS,"0 rows dropped as duplicates. Row types: {'animal_record': 580, 'outbreak_row_BOTH': 355, 'outbreak_row_DOMESTIC': 167}; outbreak rows and animal records never co-occur for the same Year/Semester/Disease/Division (verified below)"
20b. Outbreak-row labelings are disjoint (no double counting),PASS,0 of 520 Year/Semester/Disease/Division keys carry both 'Both animal categories' and 'Domestic' outbreak rows
7. Historical annual outbreak totals reproduced (2006-2023),PASS,HPAI=1232; Rabies=923; Trypanosomosis=130
8. Historical case totals reproduced (2006-2023),PASS,"HPAI=2,650,659; Rabies=2,751; Trypanosomosis=3,008"
"9. Historical consequence totals reproduced (deaths/killed/slaughtered, 2006-2023)",PASS,9 metric-disease cells all zero-difference
7b. Published 2006-2023 annual outbreak cells match (incl. NA placement),PASS,"54 disease-year cells checked, 0 mismatches"
8b. Published 2006-2023 annual case cells match (incl. NA placement),PASS,"54 disease-year cells checked, 0 mismatches, 2 documented NA-vs-0 divergences (2006 Rabies, 2020 HPAI)"
6. Missing disease-years preserved as NA,PASS,"HPAI: 5 missing years [2009, 2010, 2011, 2012, 2013]; Rabies: 0 missing years []; Trypanosomosis: 7 missing years [2006, 2007, 2016, 2022, 2023, 2024, 2025]"
"6b. Reporting coverage matches expectation (HPAI 15/20, Rabies 20/20, Tryp 13/20)",PASS,HPAI 15/20=75.0%; Rabies 20/20=100.0%; Trypanosomosis 13/20=65.0%
