Administrative_Division_as_in_raw_file,HPAI,Rabies,Trypanosomosis
Abia,5.0,1.0,
Adamawa,11.0,6.0,5.0
Akwa Ibom,1.0,15.0,
Anambra,11.0,2.0,4.0
Bauchi,60.0,116.0,5.0
Bayelsa,10.0,6.0,
Benue,2.0,23.0,
Borno,8.0,3.0,
Cross River,,19.0,
Delta,42.0,12.0,
Ebonyi,3.0,12.0,
Edo,25.0,2.0,
Ekiti,2.0,11.0,
Enugu,9.0,1.0,7.0
Federal Capital Territory,31.0,11.0,10.0
Gombe,15.0,49.0,2.0
Imo,1.0,6.0,
Jigawa,12.0,11.0,4.0
Kaduna,70.0,97.0,
Kano,262.0,83.0,
Katsina,45.0,7.0,
Kebbi,6.0,26.0,
Kogi,1.0,3.0,3.0
Kwara,1.0,7.0,18.0
Lagos,137.0,3.0,3.0
Nasarawa,12.0,,3.0
Nassarawa,10.0,2.0,
Niger,11.0,7.0,54.0
Nigeria,1.0,,
Ogun,45.0,6.0,
Ondo,,5.0,4.0
Osun,1.0,17.0,2.0
Oyo,18.0,6.0,2.0
Plateau,308.0,632.0,2.0
Rivers,56.0,,
Sokoto,7.0,3.0,
Taraba,23.0,6.0,
Yobe,3.0,8.0,
Zamfara,8.0,8.0,2.0
