State,HPAI_outbreaks,HPAI_outbreaks_map0,HPAI_status,Rabies_outbreaks,Rabies_outbreaks_map0,Rabies_status,Trypanosomosis_outbreaks,Trypanosomosis_outbreaks_map0,Trypanosomosis_status,Total_reported_outbreaks,N_diseases_with_reported_outbreaks,Missing_value_treatment
Abia,5.0,5,Reported outbreaks present,1.0,1,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),6.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Adamawa,11.0,11,Reported outbreaks present,6.0,6,Reported outbreaks present,5.0,5,Reported outbreaks present,22.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Akwa Ibom,1.0,1,Reported outbreaks present,15.0,15,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),16.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Anambra,11.0,11,Reported outbreaks present,2.0,2,Reported outbreaks present,4.0,4,Reported outbreaks present,17.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Bauchi,60.0,60,Reported outbreaks present,116.0,116,Reported outbreaks present,5.0,5,Reported outbreaks present,181.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Bayelsa,10.0,10,Reported outbreaks present,6.0,6,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),16.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Benue,2.0,2,Reported outbreaks present,23.0,23,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),25.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Borno,8.0,8,Reported outbreaks present,3.0,3,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),11.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Cross River,,0,No reported outbreaks in extracted dataset (not an observed zero),19.0,19,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),19.0,1,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Delta,42.0,42,Reported outbreaks present,12.0,12,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),54.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Ebonyi,3.0,3,Reported outbreaks present,12.0,12,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),15.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Edo,25.0,25,Reported outbreaks present,2.0,2,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),27.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Ekiti,2.0,2,Reported outbreaks present,11.0,11,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),13.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Enugu,9.0,9,Reported outbreaks present,1.0,1,Reported outbreaks present,7.0,7,Reported outbreaks present,17.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Federal Capital Territory,31.0,31,Reported outbreaks present,11.0,11,Reported outbreaks present,10.0,10,Reported outbreaks present,52.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Gombe,15.0,15,Reported outbreaks present,49.0,49,Reported outbreaks present,2.0,2,Reported outbreaks present,66.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Imo,1.0,1,Reported outbreaks present,6.0,6,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),7.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Jigawa,12.0,12,Reported outbreaks present,11.0,11,Reported outbreaks present,4.0,4,Reported outbreaks present,27.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kaduna,70.0,70,Reported outbreaks present,97.0,97,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),167.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kano,262.0,262,Reported outbreaks present,83.0,83,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),345.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Katsina,45.0,45,Reported outbreaks present,7.0,7,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),52.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kebbi,6.0,6,Reported outbreaks present,26.0,26,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),32.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kogi,1.0,1,Reported outbreaks present,3.0,3,Reported outbreaks present,3.0,3,Reported outbreaks present,7.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kwara,1.0,1,Reported outbreaks present,7.0,7,Reported outbreaks present,18.0,18,Reported outbreaks present,26.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Lagos,137.0,137,Reported outbreaks present,3.0,3,Reported outbreaks present,3.0,3,Reported outbreaks present,143.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
