Administrative_Division,Reported_outbreaks_2006_2025,Pct_of_national_reported_outbreaks,Status,Mapping_note
Abia,5.0,0.39,Reported outbreaks present,
Adamawa,11.0,0.86,Reported outbreaks present,
Akwa Ibom,1.0,0.08,Reported outbreaks present,
Anambra,11.0,0.86,Reported outbreaks present,
Bauchi,60.0,4.71,Reported outbreaks present,
Bayelsa,10.0,0.79,Reported outbreaks present,
Benue,2.0,0.16,Reported outbreaks present,
Borno,8.0,0.63,Reported outbreaks present,
Cross River,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Delta,42.0,3.3,Reported outbreaks present,
Ebonyi,3.0,0.24,Reported outbreaks present,
Edo,25.0,1.96,Reported outbreaks present,
Ekiti,2.0,0.16,Reported outbreaks present,
Enugu,9.0,0.71,Reported outbreaks present,
Federal Capital Territory,31.0,2.44,Reported outbreaks present,
Gombe,15.0,1.18,Reported outbreaks present,
Imo,1.0,0.08,Reported outbreaks present,
Jigawa,12.0,0.94,Reported outbreaks present,
Kaduna,70.0,5.5,Reported outbreaks present,
Kano,262.0,20.58,Reported outbreaks present,
Katsina,45.0,3.53,Reported outbreaks present,
Kebbi,6.0,0.47,Reported outbreaks present,
Kogi,1.0,0.08,Reported outbreaks present,
Kwara,1.0,0.08,Reported outbreaks present,
Lagos,137.0,10.76,Reported outbreaks present,
Nasarawa,22.0,1.73,Reported outbreaks present,
Niger,11.0,0.86,Reported outbreaks present,
Ogun,45.0,3.53,Reported outbreaks present,
Ondo,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Osun,1.0,0.08,Reported outbreaks present,
Oyo,18.0,1.41,Reported outbreaks present,
Plateau,308.0,24.19,Reported outbreaks present,
Rivers,56.0,4.4,Reported outbreaks present,
Sokoto,7.0,0.55,Reported outbreaks present,
Taraba,23.0,1.81,Reported outbreaks present,
Yobe,3.0,0.24,Reported outbreaks present,
Zamfara,8.0,0.63,Reported outbreaks present,
