Administrative_Division,Reported_outbreaks_2006_2025,Pct_of_national_reported_outbreaks,Status,Mapping_note
Abia,1.0,0.08,Reported outbreaks present,
Adamawa,6.0,0.49,Reported outbreaks present,
Akwa Ibom,15.0,1.22,Reported outbreaks present,
Anambra,2.0,0.16,Reported outbreaks present,
Bauchi,116.0,9.42,Reported outbreaks present,
Bayelsa,6.0,0.49,Reported outbreaks present,
Benue,23.0,1.87,Reported outbreaks present,
Borno,3.0,0.24,Reported outbreaks present,
Cross River,19.0,1.54,Reported outbreaks present,
Delta,12.0,0.97,Reported outbreaks present,
Ebonyi,12.0,0.97,Reported outbreaks present,
Edo,2.0,0.16,Reported outbreaks present,
Ekiti,11.0,0.89,Reported outbreaks present,
Enugu,1.0,0.08,Reported outbreaks present,
Federal Capital Territory,11.0,0.89,Reported outbreaks present,
Gombe,49.0,3.98,Reported outbreaks present,
Imo,6.0,0.49,Reported outbreaks present,
Jigawa,11.0,0.89,Reported outbreaks present,
Kaduna,97.0,7.87,Reported outbreaks present,
Kano,83.0,6.74,Reported outbreaks present,
Katsina,7.0,0.57,Reported outbreaks present,
Kebbi,26.0,2.11,Reported outbreaks present,
Kogi,3.0,0.24,Reported outbreaks present,
Kwara,7.0,0.57,Reported outbreaks present,
Lagos,3.0,0.24,Reported outbreaks present,
Nasarawa,2.0,0.16,Reported outbreaks present,
Niger,7.0,0.57,Reported outbreaks present,
Ogun,6.0,0.49,Reported outbreaks present,
Ondo,5.0,0.41,Reported outbreaks present,
Osun,17.0,1.38,Reported outbreaks present,
Oyo,6.0,0.49,Reported outbreaks present,
Plateau,632.0,51.3,Reported outbreaks present,
Rivers,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Sokoto,3.0,0.24,Reported outbreaks present,
Taraba,6.0,0.49,Reported outbreaks present,
Yobe,8.0,0.65,Reported outbreaks present,
Zamfara,8.0,0.65,Reported outbreaks present,
