Administrative_Division,Reported_outbreaks_2006_2025,Pct_of_national_reported_outbreaks,Status,Mapping_note
Abia,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Adamawa,5.0,3.85,Reported outbreaks present,
Akwa Ibom,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Anambra,4.0,3.08,Reported outbreaks present,
Bauchi,5.0,3.85,Reported outbreaks present,
Bayelsa,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Benue,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Borno,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Cross River,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Delta,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Ebonyi,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Edo,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Ekiti,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Enugu,7.0,5.38,Reported outbreaks present,
Federal Capital Territory,10.0,7.69,Reported outbreaks present,
Gombe,2.0,1.54,Reported outbreaks present,
Imo,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Jigawa,4.0,3.08,Reported outbreaks present,
Kaduna,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Kano,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Katsina,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Kebbi,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Kogi,3.0,2.31,Reported outbreaks present,
Kwara,18.0,13.85,Reported outbreaks present,
Lagos,3.0,2.31,Reported outbreaks present,
Nasarawa,3.0,2.31,Reported outbreaks present,
Niger,54.0,41.54,Reported outbreaks present,
Ogun,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Ondo,4.0,3.08,Reported outbreaks present,
Osun,2.0,1.54,Reported outbreaks present,
Oyo,2.0,1.54,Reported outbreaks present,
Plateau,2.0,1.54,Reported outbreaks present,
Rivers,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Sokoto,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Taraba,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Yobe,,,No reported outbreaks in the extracted WAHIS dataset,"Shade as a distinct ""no reported outbreaks"" category, not as zero burden"
Zamfara,2.0,1.54,Reported outbreaks present,
