AdminDiv,HPAI_outbreaks,Rabies_outbreaks,Trypanosomosis_outbreaks,Diseases_with_reported_outbreaks,N_diseases,Total_reported_outbreaks
Plateau,308.0,632.0,2.0,All three diseases,3,942.0
Kano,262.0,83.0,,HPAI + Rabies,2,345.0
Bauchi,60.0,116.0,5.0,All three diseases,3,181.0
Kaduna,70.0,97.0,,HPAI + Rabies,2,167.0
Lagos,137.0,3.0,3.0,All three diseases,3,143.0
Niger,11.0,7.0,54.0,All three diseases,3,72.0
Gombe,15.0,49.0,2.0,All three diseases,3,66.0
Rivers,56.0,,,Only HPAI,1,56.0
Delta,42.0,12.0,,HPAI + Rabies,2,54.0
Federal Capital Territory,31.0,11.0,10.0,All three diseases,3,52.0
Katsina,45.0,7.0,,HPAI + Rabies,2,52.0
Ogun,45.0,6.0,,HPAI + Rabies,2,51.0
Kebbi,6.0,26.0,,HPAI + Rabies,2,32.0
Taraba,23.0,6.0,,HPAI + Rabies,2,29.0
Jigawa,12.0,11.0,4.0,All three diseases,3,27.0
Nasarawa,22.0,2.0,3.0,All three diseases,3,27.0
Edo,25.0,2.0,,HPAI + Rabies,2,27.0
Oyo,18.0,6.0,2.0,All three diseases,3,26.0
Kwara,1.0,7.0,18.0,All three diseases,3,26.0
Benue,2.0,23.0,,HPAI + Rabies,2,25.0
Adamawa,11.0,6.0,5.0,All three diseases,3,22.0
Osun,1.0,17.0,2.0,All three diseases,3,20.0
Cross River,,19.0,,Only Rabies,1,19.0
Zamfara,8.0,8.0,2.0,All three diseases,3,18.0
Enugu,9.0,1.0,7.0,All three diseases,3,17.0
Anambra,11.0,2.0,4.0,All three diseases,3,17.0
Akwa Ibom,1.0,15.0,,HPAI + Rabies,2,16.0
Bayelsa,10.0,6.0,,HPAI + Rabies,2,16.0
Ebonyi,3.0,12.0,,HPAI + Rabies,2,15.0
Ekiti,2.0,11.0,,HPAI + Rabies,2,13.0
Yobe,3.0,8.0,,HPAI + Rabies,2,11.0
Borno,8.0,3.0,,HPAI + Rabies,2,11.0
Sokoto,7.0,3.0,,HPAI + Rabies,2,10.0
Ondo,,5.0,4.0,Rabies + Trypanosomosis,2,9.0
Kogi,1.0,3.0,3.0,All three diseases,3,7.0
Imo,1.0,6.0,,HPAI + Rabies,2,7.0
Abia,5.0,1.0,,HPAI + Rabies,2,6.0
Nigeria (division not specified),1.0,,,Only HPAI,1,1.0
