Year,HPAI,Rabies,Trypanosomosis
2006,Observed,Observed,No observation
2007,Observed,Observed,No observation
2008,Observed,Observed,Observed
2009,No observation,Observed,Observed
2010,No observation,Observed,Observed
2011,No observation,Observed,Observed
2012,No observation,Observed,Observed
2013,No observation,Observed,Observed
2014,Observed,Observed,Observed
2015,Observed,Observed,Observed
2016,Observed,Observed,No observation
2017,Observed,Observed,Observed
2018,Observed,Observed,Observed
2019,Observed,Observed,Observed
2020,Observed,Observed,Observed
2021,Observed,Observed,Observed
2022,Observed,Observed,No observation
2023,Observed,Observed,No observation
2024,Observed,Observed,No observation
2025,Observed,Observed,No observation
Coverage,15/20 (75.0%),20/20 (100.0%),13/20 (65.0%)
