Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated,dis,Cases__str,Deaths__str,Killed and disposed of__str,New outbreaks__str,Slaughtered__str,Susceptible__str,Vaccinated__str,Outbreaks,Killed_disposed,rowtype,Semester_half,AdminDiv_raw,State_Clean,Geo_cleaning_action,AdminDiv
2006,Jan-Jun 2006,Africa,Nigeria,Anambra,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jan-Jun,Anambra,Anambra,Unchanged (already a state-level value),Anambra
2006,Jan-Jun 2006,Africa,Nigeria,Anambra,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,500.0,Animal,,-,,353.0,,HPAI,-,353,-,-,-,500,-,,,animal_record,Jan-Jun,Anambra,Anambra,Unchanged (already a state-level value),Anambra
2006,Jan-Jun 2006,Africa,Nigeria,Bauchi,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,11,,-,,-,,,,HPAI,-,-,-,11,-,-,-,11.0,,outbreak_row_BOTH,Jan-Jun,Bauchi,Bauchi,Unchanged (already a state-level value),Bauchi
2006,Jan-Jun 2006,Africa,Nigeria,Bauchi,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,19475.0,Animal,193.0,98941,0.0,62941.0,0.0,HPAI,193,62941,98941,-,0,19475,0,,98941.0,animal_record,Jan-Jun,Bauchi,Bauchi,Unchanged (already a state-level value),Bauchi
2006,Jan-Jun 2006,Africa,Nigeria,Benue,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jan-Jun,Benue,Benue,Unchanged (already a state-level value),Benue
2006,Jan-Jun 2006,Africa,Nigeria,Benue,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,600.0,Animal,,-,,594.0,,HPAI,-,594,-,-,-,600,-,,,animal_record,Jan-Jun,Benue,Benue,Unchanged (already a state-level value),Benue
2006,Jan-Jun 2006,Africa,Nigeria,Borno,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jan-Jun,Borno,Borno,Unchanged (already a state-level value),Borno
2006,Jan-Jun 2006,Africa,Nigeria,Borno,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,36.0,Animal,36.0,16,0.0,20.0,0.0,HPAI,36,20,16,-,0,36,0,,16.0,animal_record,Jan-Jun,Borno,Borno,Unchanged (already a state-level value),Borno
2006,Jan-Jun 2006,Africa,Nigeria,Federal Capital Territory,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,4,,-,,-,,,,HPAI,-,-,-,4,-,-,-,4.0,,outbreak_row_BOTH,Jan-Jun,Federal Capital Territory,Federal Capital Territory,Unchanged (already a state-level value),Federal Capital Territory
2006,Jan-Jun 2006,Africa,Nigeria,Federal Capital Territory,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,629.0,Animal,,-,,202.0,,HPAI,-,202,-,-,-,629,-,,,animal_record,Jan-Jun,Federal Capital Territory,Federal Capital Territory,Unchanged (already a state-level value),Federal Capital Territory
