block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,animal_category,species,measuring_units,susceptible,cases,killed_disposed,slaughtered,deaths,vaccinated,all_counts_missing
2006|Jan-Jun 2006|Anambra|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Anambra,Anambra,Domestic,Birds,Animal,500.0,,,,353.0,,False
2006|Jan-Jun 2006|Bauchi|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Bauchi,Bauchi,Domestic,Birds,Animal,19475.0,193.0,98941.0,0.0,62941.0,0.0,False
2006|Jan-Jun 2006|Benue|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Benue,Benue,Domestic,Birds,Animal,600.0,,,,594.0,,False
2006|Jan-Jun 2006|Borno|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Borno,Borno,Domestic,Birds,Animal,36.0,36.0,16.0,0.0,20.0,0.0,False
2006|Jan-Jun 2006|Federal Capital Territory|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Federal Capital Territory,Federal Capital Territory,Domestic,Birds,Animal,629.0,,,,202.0,,False
2006|Jan-Jun 2006|Jigawa|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Jigawa,Jigawa,Domestic,Birds,Animal,,,,0.0,9026.0,0.0,False
2006|Jan-Jun 2006|Kaduna|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Kaduna,Kaduna,Domestic,Birds,Animal,123073.0,42528.0,15740.0,0.0,86223.0,0.0,False
2006|Jan-Jun 2006|Kano|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Kano,Kano,Domestic,Birds,Animal,78741.0,3916.0,46554.0,0.0,3911.0,0.0,False
2006|Jan-Jun 2006|Katsina|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Katsina,Katsina,Domestic,Birds,Animal,15074.0,,,0.0,,0.0,False
2006|Jan-Jun 2006|Lagos|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Lagos,Lagos,Domestic,Birds,Animal,54600.0,,,0.0,2981.0,0.0,False
2006|Jan-Jun 2006|Nasarawa|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Nasarawa,Nasarawa,Domestic,Birds,Animal,25414.0,,21957.0,0.0,3457.0,0.0,False
2006|Jan-Jun 2006|Ogun|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Ogun,Ogun,Domestic,Birds,Animal,270000.0,,,0.0,188000.0,0.0,False
2006|Jan-Jun 2006|Osun|Rabies|,2006,Jan-Jun 2006,Rabies,,state,Osun,Osun,Domestic,Dogs,Animal,,,,,,,True
2006|Jan-Jun 2006|Oyo|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Oyo,Oyo,Domestic,Birds,Animal,300.0,,280.0,0.0,20.0,0.0,False
2006|Jan-Jun 2006|Plateau|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Plateau,Plateau,Domestic,Birds,Animal,44516.0,12475.0,31903.0,0.0,11212.0,0.0,False
2006|Jan-Jun 2006|Plateau|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Plateau,Plateau,Wild,Wildlife (species unspecified),Animal,1.0,1.0,0.0,0.0,1.0,0.0,False
2006|Jan-Jun 2006|Rivers|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Rivers,Rivers,Domestic,Birds,Animal,1200.0,,,,700.0,0.0,False
2006|Jan-Jun 2006|Taraba|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Taraba,Taraba,Domestic,Birds,Animal,81.0,,45.0,0.0,36.0,0.0,False
2006|Jan-Jun 2006|Yobe|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Yobe,Yobe,Domestic,Birds,Animal,,6.0,,,,0.0,False
