block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,header_animal_category,new_outbreaks
2006|Jan-Jun 2006|Anambra|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Anambra,Anambra,Both animal categories,1.0
2006|Jan-Jun 2006|Bauchi|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Bauchi,Bauchi,Both animal categories,11.0
2006|Jan-Jun 2006|Benue|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Benue,Benue,Both animal categories,1.0
2006|Jan-Jun 2006|Borno|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Borno,Borno,Both animal categories,1.0
2006|Jan-Jun 2006|Federal Capital Territory|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Federal Capital Territory,Federal Capital Territory,Both animal categories,4.0
2006|Jan-Jun 2006|Jigawa|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Jigawa,Jigawa,Both animal categories,2.0
2006|Jan-Jun 2006|Kaduna|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Kaduna,Kaduna,Both animal categories,18.0
2006|Jan-Jun 2006|Kano|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Kano,Kano,Both animal categories,8.0
2006|Jan-Jun 2006|Katsina|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Katsina,Katsina,Both animal categories,9.0
2006|Jan-Jun 2006|Lagos|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Lagos,Lagos,Both animal categories,5.0
2006|Jan-Jun 2006|Nasarawa|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Nasarawa,Nasarawa,Both animal categories,4.0
2006|Jan-Jun 2006|Ogun|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Ogun,Ogun,Both animal categories,2.0
2006|Jan-Jun 2006|Osun|Rabies|,2006,Jan-Jun 2006,Rabies,,state,Osun,Osun,Both animal categories,1.0
2006|Jan-Jun 2006|Oyo|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Oyo,Oyo,Both animal categories,2.0
2006|Jan-Jun 2006|Plateau|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Plateau,Plateau,Both animal categories,32.0
2006|Jan-Jun 2006|Rivers|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Rivers,Rivers,Both animal categories,1.0
2006|Jan-Jun 2006|Taraba|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Taraba,Taraba,Both animal categories,4.0
2006|Jan-Jun 2006|Yobe|HPAI|H5N1,2006,Jan-Jun 2006,HPAI,H5N1,state,Yobe,Yobe,Both animal categories,1.0
2006|Jul-Dec 2006|Anambra|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Anambra,Anambra,Both animal categories,2.0
2006|Jul-Dec 2006|Bauchi|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Bauchi,Bauchi,Both animal categories,1.0
2006|Jul-Dec 2006|Borno|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Borno,Borno,Both animal categories,2.0
2006|Jul-Dec 2006|Delta|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Delta,Delta,Both animal categories,1.0
2006|Jul-Dec 2006|Kaduna|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Kaduna,Kaduna,Both animal categories,4.0
2006|Jul-Dec 2006|Kano|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Kano,Kano,Both animal categories,6.0
2006|Jul-Dec 2006|Kwara|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Kwara,Kwara,Both animal categories,1.0
2006|Jul-Dec 2006|Lagos|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Lagos,Lagos,Both animal categories,13.0
2006|Jul-Dec 2006|Nasarawa|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Nasarawa,Nasarawa,Both animal categories,1.0
2006|Jul-Dec 2006|Ogun|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Ogun,Ogun,Both animal categories,1.0
2006|Jul-Dec 2006|Plateau|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Plateau,Plateau,Both animal categories,1.0
