row_index_raw,year,semester,world_region,country,location_raw,location_std,location_recoded,geo_level,disease_wahis_label,disease,serotype,animal_category,species,measuring_units,event_id,outbreak_id,block_id,row_type,in_study_period,new_outbreaks,susceptible,cases,killed_disposed,slaughtered,deaths,vaccinated
0,2005,Jul-Dec 2005,Africa,Nigeria,Nigeria,Nigeria,False,national,Rabies virus (Inf. with),Rabies,,Both animal categories,,-,-,-,2005|Jul-Dec 2005|Nigeria|Rabies|,outbreak_row,False,1.0,,,,,,
1,2005,Jul-Dec 2005,Africa,Nigeria,Nigeria,Nigeria,False,national,Rabies virus (Inf. with),Rabies,,Domestic,Dogs,Animal,-,-,2005|Jul-Dec 2005|Nigeria|Rabies|,animal_row,False,,1.0,1.0,1.0,0.0,0.0,0.0
2,2005,Jan-Jun 2005,Africa,Nigeria,Nigeria,Nigeria,False,national,Rabies virus (Inf. with),Rabies,,Both animal categories,,-,-,-,2005|Jan-Jun 2005|Nigeria|Rabies|,outbreak_row,False,2.0,,,,,,
3,2005,Jan-Jun 2005,Africa,Nigeria,Nigeria,Nigeria,False,national,Rabies virus (Inf. with),Rabies,,Domestic,Dogs,Animal,-,-,2005|Jan-Jun 2005|Nigeria|Rabies|,animal_row,False,,4.0,4.0,2.0,0.0,2.0,150.0
4,2006,Jan-Jun 2006,Africa,Nigeria,Anambra,Anambra,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Anambra|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
5,2006,Jan-Jun 2006,Africa,Nigeria,Anambra,Anambra,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Anambra|HPAI|H5N1,animal_row,True,,500.0,,,,353.0,
6,2006,Jan-Jun 2006,Africa,Nigeria,Bauchi,Bauchi,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Bauchi|HPAI|H5N1,outbreak_row,True,11.0,,,,,,
7,2006,Jan-Jun 2006,Africa,Nigeria,Bauchi,Bauchi,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Bauchi|HPAI|H5N1,animal_row,True,,19475.0,193.0,98941.0,0.0,62941.0,0.0
8,2006,Jan-Jun 2006,Africa,Nigeria,Benue,Benue,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Benue|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
9,2006,Jan-Jun 2006,Africa,Nigeria,Benue,Benue,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Benue|HPAI|H5N1,animal_row,True,,600.0,,,,594.0,
