Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2005,Jul-Dec 2005,Africa,Nigeria,"Nigeria","Rabies virus (Inf. with)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Nigeria,"Nigeria","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,1,Animal,1,1,0,0,0
2005,Jan-Jun 2005,Africa,Nigeria,"Nigeria","Rabies virus (Inf. with)","",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2005,Jan-Jun 2005,Africa,Nigeria,"Nigeria","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,4,Animal,4,2,0,2,150
2006,Jan-Jun 2006,Africa,Nigeria,"Anambra","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Anambra","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,500,Animal,-,-,-,353,-
2006,Jan-Jun 2006,Africa,Nigeria,"Bauchi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,11,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Bauchi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,19475,Animal,193,98941,0,62941,0
2006,Jan-Jun 2006,Africa,Nigeria,"Benue","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Benue","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,600,Animal,-,-,-,594,-
2006,Jan-Jun 2006,Africa,Nigeria,"Borno","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Borno","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,36,Animal,36,16,0,20,0
2006,Jan-Jun 2006,Africa,Nigeria,"Federal Capital Territory","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Federal Capital Territory","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,629,Animal,-,-,-,202,-
2006,Jan-Jun 2006,Africa,Nigeria,"Jigawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Jigawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,-,-,0,9026,0
2006,Jan-Jun 2006,Africa,Nigeria,"Kaduna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,18,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Kaduna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,123073,Animal,42528,15740,0,86223,0
2006,Jan-Jun 2006,Africa,Nigeria,"Kano","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,8,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Kano","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,78741,Animal,3916,46554,0,3911,0
2006,Jan-Jun 2006,Africa,Nigeria,"Katsina","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,9,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Katsina","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,15074,Animal,-,-,0,-,0
2006,Jan-Jun 2006,Africa,Nigeria,"Lagos","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,5,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Lagos","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,54600,Animal,-,-,0,2981,0
2006,Jan-Jun 2006,Africa,Nigeria,"Nasarawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Nasarawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,25414,Animal,-,21957,0,3457,0
2006,Jan-Jun 2006,Africa,Nigeria,"Ogun","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Ogun","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,270000,Animal,-,-,0,188000,0
2006,Jan-Jun 2006,Africa,Nigeria,"Osun","Rabies virus (Inf. with)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Osun","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,-,Animal,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Oyo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Oyo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,300,Animal,-,280,0,20,0
2006,Jan-Jun 2006,Africa,Nigeria,"Plateau","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,32,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Plateau","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,44516,Animal,12475,31903,0,11212,0
2006,Jan-Jun 2006,Africa,Nigeria,"Plateau","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Wild,-,"Wildlife (species unspecified)",-,-,1,Animal,1,0,0,1,0
2006,Jan-Jun 2006,Africa,Nigeria,"Rivers","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Rivers","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1200,Animal,-,-,-,700,0
2006,Jan-Jun 2006,Africa,Nigeria,"Taraba","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Taraba","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,81,Animal,-,45,0,36,0
2006,Jan-Jun 2006,Africa,Nigeria,"Yobe","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Yobe","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,6,-,-,-,0
