state,disease,total_reported_outbreaks,reporting_years,reporting_blocks,first_year,last_year
Plateau,HPAI,303.0,8,11,2006,2023
Kano,HPAI,250.0,10,15,2006,2023
Lagos,HPAI,137.0,7,12,2006,2023
Kaduna,HPAI,68.0,7,9,2006,2022
Bauchi,HPAI,60.0,8,11,2006,2023
Rivers,HPAI,56.0,6,7,2006,2023
Katsina,HPAI,44.0,7,7,2006,2023
Ogun,HPAI,44.0,7,10,2006,2023
Delta,HPAI,41.0,6,9,2006,2022
Federal Capital Territory,HPAI,29.0,6,7,2006,2022
Edo,HPAI,25.0,7,10,2007,2022
Nasarawa,HPAI,22.0,8,11,2006,2022
Oyo,HPAI,18.0,6,9,2006,2022
Gombe,HPAI,15.0,4,5,2008,2022
Jigawa,HPAI,12.0,5,6,2006,2022
Adamawa,HPAI,11.0,4,4,2007,2022
Anambra,HPAI,11.0,5,7,2006,2022
Niger,HPAI,11.0,2,4,2021,2022
Bayelsa,HPAI,10.0,4,5,2015,2022
Enugu,HPAI,9.0,4,4,2007,2021
Taraba,HPAI,9.0,2,3,2006,2021
Borno,HPAI,8.0,3,4,2006,2022
Sokoto,HPAI,7.0,3,3,2007,2022
Zamfara,HPAI,7.0,3,4,2007,2022
Abia,HPAI,5.0,3,3,2015,2022
Kebbi,HPAI,4.0,3,3,2008,2022
Ebonyi,HPAI,3.0,2,2,2016,2022
Yobe,HPAI,3.0,2,2,2006,2007
Benue,HPAI,2.0,2,2,2006,2016
Ekiti,HPAI,2.0,2,2,2007,2023
Akwa Ibom,HPAI,1.0,1,1,2021,2021
Imo,HPAI,1.0,1,1,2023,2023
Kogi,HPAI,1.0,1,1,2022,2022
Kwara,HPAI,1.0,1,1,2006,2006
Osun,HPAI,1.0,1,1,2022,2022
Plateau,Rabies,469.0,13,22,2008,2023
Bauchi,Rabies,93.0,11,19,2008,2023
Kaduna,Rabies,72.0,12,20,2008,2023
Kano,Rabies,66.0,9,15,2008,2023
Gombe,Rabies,34.0,7,11,2007,2023
Kebbi,Rabies,21.0,5,5,2018,2023
Akwa Ibom,Rabies,14.0,2,2,2020,2022
Osun,Rabies,14.0,9,11,2006,2022
Benue,Rabies,13.0,8,9,2009,2022
Cross River,Rabies,12.0,4,4,2011,2023
Ebonyi,Rabies,11.0,5,6,2011,2023
Ekiti,Rabies,11.0,5,8,2008,2023
Delta,Rabies,10.0,3,5,2021,2023
Federal Capital Territory,Rabies,9.0,5,7,2009,2023
Bayelsa,Rabies,6.0,4,5,2018,2021
Katsina,Rabies,6.0,3,4,2019,2021
Kwara,Rabies,6.0,5,5,2008,2020
Oyo,Rabies,6.0,2,2,2020,2022
Imo,Rabies,5.0,4,4,2010,2021
Niger,Rabies,5.0,4,4,2013,2023
Ondo,Rabies,5.0,3,3,2008,2023
Adamawa,Rabies,4.0,4,4,2009,2022
Jigawa,Rabies,4.0,2,2,2009,2023
Taraba,Rabies,4.0,3,4,2008,2012
Kogi,Rabies,3.0,2,3,2012,2023
Lagos,Rabies,3.0,1,1,2021,2021
Ogun,Rabies,3.0,3,3,2020,2023
Yobe,Rabies,3.0,3,3,2019,2023
Borno,Rabies,2.0,2,2,2020,2022
Edo,Rabies,2.0,2,2,2009,2019
Nasarawa,Rabies,2.0,1,1,2022,2022
Zamfara,Rabies,2.0,1,1,2023,2023
Anambra,Rabies,1.0,1,1,2013,2013
Enugu,Rabies,1.0,1,1,2022,2022
Sokoto,Rabies,1.0,1,1,2016,2016
Niger,Trypanosomosis,54.0,10,13,2008,2021
Kwara,Trypanosomosis,18.0,3,5,2018,2021
Federal Capital Territory,Trypanosomosis,10.0,2,3,2008,2009
Enugu,Trypanosomosis,7.0,3,4,2010,2021
Adamawa,Trypanosomosis,5.0,1,1,2008,2008
Bauchi,Trypanosomosis,5.0,2,2,2009,2021
Anambra,Trypanosomosis,4.0,3,3,2019,2021
Jigawa,Trypanosomosis,4.0,1,2,2021,2021
Ondo,Trypanosomosis,4.0,3,4,2019,2021
Kogi,Trypanosomosis,3.0,1,2,2021,2021
Lagos,Trypanosomosis,3.0,1,2,2021,2021
Nasarawa,Trypanosomosis,3.0,2,2,2008,2009
Gombe,Trypanosomosis,2.0,1,2,2017,2017
Osun,Trypanosomosis,2.0,1,2,2015,2015
Oyo,Trypanosomosis,2.0,2,2,2015,2021
Plateau,Trypanosomosis,2.0,2,2,2009,2021
Zamfara,Trypanosomosis,2.0,2,2,2019,2020
