state,Rabies,HPAI,Trypanosomosis
Abia,,5.0,
Adamawa,4.0,11.0,5.0
Akwa Ibom,14.0,1.0,
Anambra,1.0,11.0,4.0
Bauchi,93.0,60.0,5.0
Bayelsa,6.0,10.0,
Benue,13.0,2.0,
Borno,2.0,8.0,
Cross River,12.0,,
Delta,10.0,41.0,
Ebonyi,11.0,3.0,
Edo,2.0,25.0,
Ekiti,11.0,2.0,
Enugu,1.0,9.0,7.0
Federal Capital Territory,9.0,29.0,10.0
Gombe,34.0,15.0,2.0
Imo,5.0,1.0,
Jigawa,4.0,12.0,4.0
Kaduna,72.0,68.0,
Kano,66.0,250.0,
Katsina,6.0,44.0,
Kebbi,21.0,4.0,
Kogi,3.0,1.0,3.0
Kwara,6.0,1.0,18.0
Lagos,3.0,137.0,3.0
Nasarawa,2.0,22.0,3.0
Niger,5.0,11.0,54.0
Ogun,3.0,44.0,
Ondo,5.0,,4.0
Osun,14.0,1.0,2.0
Oyo,6.0,18.0,2.0
Plateau,469.0,303.0,2.0
Rivers,,56.0,
Sokoto,1.0,7.0,
Taraba,4.0,9.0,
Yobe,3.0,3.0,
Zamfara,2.0,7.0,2.0
