state,Rabies,HPAI,Trypanosomosis
Abia,,3.0,
Adamawa,4.0,4.0,1.0
Akwa Ibom,2.0,1.0,
Anambra,1.0,5.0,3.0
Bauchi,11.0,8.0,2.0
Bayelsa,4.0,4.0,
Benue,8.0,2.0,
Borno,2.0,3.0,
Cross River,4.0,,
Delta,3.0,6.0,
Ebonyi,5.0,2.0,
Edo,2.0,7.0,
Ekiti,5.0,2.0,
Enugu,1.0,4.0,3.0
Federal Capital Territory,5.0,6.0,2.0
Gombe,7.0,4.0,1.0
Imo,4.0,1.0,
Jigawa,2.0,5.0,1.0
Kaduna,12.0,7.0,
Kano,9.0,10.0,
Katsina,3.0,7.0,
Kebbi,5.0,3.0,
Kogi,2.0,1.0,1.0
Kwara,5.0,1.0,3.0
Lagos,1.0,7.0,1.0
Nasarawa,1.0,8.0,2.0
Niger,4.0,2.0,10.0
Ogun,3.0,7.0,
Ondo,3.0,,3.0
Osun,9.0,1.0,1.0
Oyo,2.0,6.0,2.0
Plateau,13.0,8.0,2.0
Rivers,,6.0,
Sokoto,1.0,3.0,
Taraba,3.0,2.0,
Yobe,3.0,2.0,
Zamfara,1.0,3.0,2.0
